index,x,y_elevation,z,cumulative_length_m
184,-178.23263549804688,-6.865461826324463,122.31990051269531,293.11590576171875
185,-178.09127807617188,-6.857509613037109,120.82106018066406,294.6214599609375
186,-177.94984436035156,-6.849119186401367,119.32215881347656,296.1271057128906
187,-177.8081512451172,-6.839715480804443,117.8232421875,297.6327819824219
188,-177.6664276123047,-6.831053733825684,116.3241195678711,299.138671875
189,-177.52462768554688,-6.822120666503906,114.82500457763672,300.6445617675781
190,-177.38272094726562,-6.814781188964844,113.32575225830078,302.15057373046875
191,-177.24073791503906,-6.806237697601318,111.82661437988281,303.656494140625
192,-177.098876953125,-6.797829627990723,110.32740020751953,305.1624755859375
193,-176.9574432373047,-6.790004253387451,108.82808685302734,306.66851806640625
194,-176.81626892089844,-6.7813191413879395,107.32913970947266,308.1741638183594
195,-176.67527770996094,-6.7729315757751465,105.8304214477539,309.6795959472656
196,-176.53445434570312,-6.764070510864258,104.3317642211914,311.1849365234375
197,-176.39382934570312,-6.754403114318848,102.8332748413086,312.6900939941406
198,-176.25306701660156,-6.747438907623291,101.33494567871094,314.1950988769531
199,-176.1123046875,-6.7417683601379395,99.83683776855469,315.6998596191406
200,-175.97134399414062,-6.735383987426758,98.33907318115234,317.2043151855469
201,-175.83042907714844,-6.728393077850342,96.84162139892578,318.7084655761719
202,-175.68954467773438,-6.721024990081787,95.34443664550781,320.21234130859375
203,-175.548583984375,-6.711970329284668,93.84749603271484,321.7159729003906
204,-175.40792846679688,-6.70245361328125,92.35082244873047,323.2193298339844
205,-175.26760864257812,-6.692712306976318,90.85440826416016,324.7223815917969
206,-175.1268768310547,-6.683065414428711,89.3582763671875,326.2252197265625
207,-174.9856719970703,-6.673049449920654,87.86250305175781,327.7277526855469
208,-174.84402465820312,-6.663978576660156,86.36705780029297,329.22998046875
209,-174.70181274414062,-6.655822277069092,84.87203979492188,330.7318115234375
210,-174.5584259033203,-6.648447513580322,83.37754821777344,332.2332458496094
211,-174.41371154785156,-6.6403069496154785,81.88378143310547,333.73406982421875
212,-174.26795959472656,-6.63163423538208,80.3905258178711,335.2344970703125
213,-174.108642578125,-6.6212968826293945,78.77338409423828,336.85955810546875
214,-173.9483642578125,-6.611765384674072,77.15654754638672,338.4844055175781
215,-173.78704833984375,-6.6033830642700195,75.54006958007812,340.1089782714844
216,-173.6247100830078,-6.596928119659424,73.923828125,341.7334289550781
217,-173.46121215820312,-6.589123725891113,72.30816650390625,343.357421875
218,-173.29647827148438,-6.581512451171875,70.69279479980469,344.9812316894531
