t_s,car_x,car_z,e_y_m,e_psi_rad,theta_ref0_deg,theta_real_deg,theta_dot_kf_degs,theta_dot_raw_degs,error_deg,tau_Nm,speed_kmh,kappa_avg,loop_dt_ms
4.817,38.013,716.506,0.9731,-0.02399,-15.404,7.983,-275.925,0.0,-23.387,-0.5572,25.66,-0.000341,19.61
4.862,37.985,716.872,0.966,-0.01935,-18.435,-1.682,-286.755,0.0,-16.754,0.152,26.19,-6.6e-05,14.37
4.913,37.957,717.226,0.9584,-0.02555,-12.89,-5.363,-193.298,0.0,-7.528,0.4981,26.91,-6.6e-05,14.83
4.965,37.931,717.611,0.9466,-0.03652,-3.978,-4.354,-73.62,0.0,0.376,0.5264,27.58,-6.6e-05,16.35
5.016,37.908,718.006,0.93,-0.04763,4.902,-0.639,20.18,0.0,5.54,0.413,28.19,-6.6e-05,17.18
5.064,37.891,718.384,0.9105,-0.05503,10.948,3.75,74.297,0.0,7.198,0.2238,28.63,-6.6e-05,14.96
5.112,37.873,718.795,0.8873,-0.05677,13.342,7.254,87.774,0.0,6.088,0.0297,29.37,-9.6e-05,12.81
5.163,37.855,719.216,0.8638,-0.05376,12.117,8.949,70.079,0.0,3.168,-0.1302,30.1,-9.6e-05,13.12
5.215,37.835,719.647,0.8417,-0.04754,8.666,8.72,33.907,0.0,-0.055,-0.2095,30.79,-9.6e-05,14.75
5.264,37.812,720.062,0.8235,-0.04135,5.084,7.254,-4.576,0.0,-2.17,-0.1808,31.49,0.000107,13.15
5.313,37.785,720.511,0.8061,-0.03586,2.06,5.29,-29.329,0.0,-3.23,-0.1206,32.0,0.000107,12.91
5.36,37.755,720.968,0.7905,-0.03241,0.46,3.511,-39.273,0.0,-3.05,-0.0428,32.74,0.000107,9.56
5.411,37.723,721.436,0.7757,-0.03091,0.114,2.305,-35.592,0.0,-2.19,0.0179,33.44,0.000107,9.62
5.464,37.691,721.914,0.761,-0.03096,0.99,1.873,-24.125,0.0,-0.883,0.0661,34.15,-0.000234,12.87
5.514,37.657,722.403,0.7458,-0.03141,1.868,1.948,-8.622,0.0,-0.081,0.0556,34.86,-0.000234,11.48
5.562,37.624,722.901,0.7299,-0.03184,2.698,2.268,1.501,0.0,0.431,0.0367,35.54,-0.000234,9.37
5.615,37.589,723.41,0.7138,-0.03205,3.674,2.773,6.383,0.0,0.901,0.0372,36.32,0.000313,11.98
5.666,37.554,723.93,0.6972,-0.03134,3.781,3.155,10.114,0.0,0.625,0.0004,37.09,0.000313,12.1
5.715,37.522,724.397,0.6828,-0.02997,3.427,3.248,7.64,0.0,0.179,-0.027,37.86,0.000313,11.24
5.767,37.484,724.937,0.6669,-0.02838,2.784,3.065,1.856,0.0,-0.281,-0.0353,38.58,-0.00012,12.79
5.815,37.444,725.488,0.6517,-0.0268,2.317,2.771,-3.67,0.0,-0.453,-0.0218,39.33,-0.00012,10.93
5.865,37.403,726.049,0.637,-0.02535,1.899,2.455,-5.88,0.0,-0.556,-0.0132,40.0,-0.00012,10.21
5.917,37.361,726.62,0.6227,-0.02371,1.576,2.144,-6.307,0.0,-0.568,-0.0104,40.74,-4.1e-05,11.73
5.964,37.317,727.2,0.6093,-0.02252,1.284,1.844,-6.219,0.0,-0.559,-0.0094,41.44,-4.1e-05,8.75
6.016,37.274,727.756,0.5968,-0.02155,0.9,1.509,-6.014,0.0,-0.609,-0.0152,42.16,0.00053,10.56
6.065,37.227,728.357,0.584,-0.02104,0.977,1.3,-6.693,0.0,-0.322,0.0059,42.92,0.00053,9.46
6.119,37.179,728.969,0.5712,-0.02057,1.067,1.217,-4.181,0.0,-0.15,0.0104,43.68,0.00053,12.96
6.171,37.13,729.592,0.5583,-0.01965,0.848,1.12,-1.652,0.0,-0.272,-0.0049,44.43,0.000572,14.74
6.216,37.083,730.187,0.5467,-0.01919,0.9,1.05,-1.941,0.0,-0.15,0.0004,45.16,0.000572,9.91
6.271,37.032,730.831,0.5343,-0.01854,1.091,1.107,-1.398,0.0,-0.016,0.0152,45.9,0.000883,14.76
6.317,36.983,731.446,0.523,-0.01807,1.122,1.18,1.127,0.0,-0.058,0.0044,46.66,0.000883,10.4
